Material: 316 Stainless Steel
Tension Test Strain Rate: 0.001/s
Gauge Length (postn): Lo = 50.80 mm
Initial Diamter: Do = 6.35 mm
Disp.(mm)	Force(kN)
0.000000e+000	0.000000e+000
1.394500e-002	8.855470e-001
2.228500e-002	1.816406e+000
3.636700e-002	2.731445e+000
5.072200e-002	3.571680e+000
6.193300e-002	4.414258e+000
7.451100e-002	5.214648e+000
8.490200e-002	6.022266e+000
9.789000e-002	6.778711e+000
1.048630e-001	7.388672e+000
1.238670e-001	7.890430e+000
1.401360e-001	8.237109e+000
1.517570e-001	8.420117e+000
1.683000e-001	8.482617e+000
1.786910e-001	8.469531e+000
1.923630e-001	8.468164e+000
2.056250e-001	8.462891e+000
2.160150e-001	8.466211e+000
2.255850e-001	8.480273e+000
2.452730e-001	8.493750e+000
2.590820e-001	8.502148e+000
2.685150e-001	8.528711e+000
2.810930e-001	8.540430e+000
2.959960e-001	8.579102e+000
3.051560e-001	8.606055e+000
3.207420e-001	8.628906e+000
3.293550e-001	8.655273e+000
3.443940e-001	8.690039e+000
3.597070e-001	8.706250e+000
3.733780e-001	8.731445e+000
3.818550e-001	8.754102e+000
3.960740e-001	8.789453e+000
4.108390e-001	8.821680e+000
4.190420e-001	8.840625e+000
4.310740e-001	8.874219e+000
4.432420e-001	8.898047e+000
4.618350e-001	8.925000e+000
4.723630e-001	8.954297e+000
4.879490e-001	8.973047e+000
4.986130e-001	9.004883e+000
5.092770e-001	9.028320e+000
5.215820e-001	9.058203e+000
5.342960e-001	9.082813e+000
5.475580e-001	9.098242e+000
5.576750e-001	9.127539e+000
5.755850e-001	9.153711e+000
5.887100e-001	9.179297e+000
5.939060e-001	9.201562e+000
6.097650e-001	9.231836e+000
6.254880e-001	9.263672e+000
6.380660e-001	9.284766e+000
6.487300e-001	9.309766e+000
6.617180e-001	9.334180e+000
6.712890e-001	9.351758e+000
6.875580e-001	9.372656e+000
6.979490e-001	9.401953e+000
7.087500e-001	9.428516e+000
7.205070e-001	9.459375e+000
7.336320e-001	9.486328e+000
7.466210e-001	9.510156e+000
7.590620e-001	9.533594e+000
7.766990e-001	9.543945e+000
7.872260e-001	9.569922e+000
7.981640e-001	9.591406e+000
8.086910e-001	9.617969e+000
8.219530e-001	9.641406e+000
8.376750e-001	9.658984e+000
8.491600e-001	9.682617e+000
8.640620e-001	9.708984e+000
8.756830e-001	9.733008e+000
8.904490e-001	9.755859e+000
8.987890e-001	9.774023e+000
9.105460e-001	9.793945e+000
9.251750e-001	9.827148e+000
9.400780e-001	9.852734e+000
9.510150e-001	9.864453e+000
9.612690e-001	9.880664e+000
9.793160e-001	9.899414e+000
9.917570e-001	9.918359e+000
1.004746e+000	9.939063e+000
1.015683e+000	9.965625e+000
1.026074e+000	9.993945e+000
1.038515e+000	1.001523e+001
1.051914e+000	1.003711e+001
1.065175e+000	1.005234e+001
1.078027e+000	1.007305e+001
1.091835e+000	1.008340e+001
1.104414e+000	1.009922e+001
1.116992e+000	1.012344e+001
1.127519e+000	1.015625e+001
1.139687e+000	1.017188e+001
1.155683e+000	1.019883e+001
1.168398e+000	1.021973e+001
1.175781e+000	1.022891e+001
1.190273e+000	1.025059e+001
1.208457e+000	1.027500e+001
1.218847e+000	1.028926e+001
1.228964e+000	1.031172e+001
1.243593e+000	1.032988e+001
1.255078e+000	1.035117e+001
1.271347e+000	1.037051e+001
1.285703e+000	1.038555e+001
1.298691e+000	1.040039e+001
1.312773e+000	1.042168e+001
1.328906e+000	1.043945e+001
1.341074e+000	1.046094e+001
1.352558e+000	1.047793e+001
1.364043e+000	1.050195e+001
1.378398e+000	1.051055e+001
1.387558e+000	1.053242e+001
1.399863e+000	1.055273e+001
1.409707e+000	1.057305e+001
1.424746e+000	1.059277e+001
1.438007e+000	1.060449e+001
1.453730e+000	1.063164e+001
1.465625e+000	1.064981e+001
1.477792e+000	1.066328e+001
1.489550e+000	1.068438e+001
1.499257e+000	1.069121e+001
1.514980e+000	1.070352e+001
1.527558e+000	1.073125e+001
1.539042e+000	1.075820e+001
1.551210e+000	1.077910e+001
1.562421e+000	1.079316e+001
1.580332e+000	1.081426e+001
1.591543e+000	1.082481e+001
1.605625e+000	1.083594e+001
1.619296e+000	1.085176e+001
1.630234e+000	1.087207e+001
1.642675e+000	1.087988e+001
1.654843e+000	1.090566e+001
1.669472e+000	1.092441e+001
1.682324e+000	1.094492e+001
1.692851e+000	1.096211e+001
1.710078e+000	1.097715e+001
1.720332e+000	1.099531e+001
1.727851e+000	1.100781e+001
1.744804e+000	1.102481e+001
1.760253e+000	1.103965e+001
1.768457e+000	1.105469e+001
1.778574e+000	1.107500e+001
1.793886e+000	1.108809e+001
1.806738e+000	1.110723e+001
1.819316e+000	1.111992e+001
1.829023e+000	1.114707e+001
1.844199e+000	1.116680e+001
1.855820e+000	1.118145e+001
1.869355e+000	1.120313e+001
1.882753e+000	1.122051e+001
1.897519e+000	1.123106e+001
1.908183e+000	1.124414e+001
1.921171e+000	1.125644e+001
1.934023e+000	1.127207e+001
1.945097e+000	1.128789e+001
1.956992e+000	1.131074e+001
1.970253e+000	1.132676e+001
1.979003e+000	1.134981e+001
1.996367e+000	1.136250e+001
2.008671e+000	1.136523e+001
2.021113e+000	1.138477e+001
2.030683e+000	1.139082e+001
2.045996e+000	1.140742e+001
2.060214e+000	1.141953e+001
2.071562e+000	1.144375e+001
2.081953e+000	1.146543e+001
2.095214e+000	1.147773e+001
2.108066e+000	1.148672e+001
2.123652e+000	1.150449e+001
2.135957e+000	1.152168e+001
2.147851e+000	1.153418e+001
2.161660e+000	1.154863e+001
2.169863e+000	1.156699e+001
2.187089e+000	1.157637e+001
2.198164e+000	1.159023e+001
2.210058e+000	1.160742e+001
2.225644e+000	1.161602e+001
2.232753e+000	1.163106e+001
2.246835e+000	1.165215e+001
2.259003e+000	1.167168e+001
2.274453e+000	1.168457e+001
2.289628e+000	1.170508e+001
2.302343e+000	1.171563e+001
2.313144e+000	1.172715e+001
2.323808e+000	1.173887e+001
2.338574e+000	1.175078e+001
2.352519e+000	1.176816e+001
2.365234e+000	1.178750e+001
2.374804e+000	1.180273e+001
2.388750e+000	1.182441e+001
