Material: 6061-T6 Aluminum
Tension Test Strain Rate: 0.001/s
Extensometer Gauge Length = 12.70 mm (neck formed between extensometer)
Gauge Length (postn): Lo = 50.80 mm
Initial Diamter: Do = 6.35 mm
Disp.(mm)	Force(kN)	Extensometer(mm)
0.000000e+000	0.000000e+000	0.000000e+000
1.080000e-002	3.400450e-001	2.103190e-003
1.800000e-002	5.232100e-001	3.294980e-003
2.480000e-002	7.493500e-001	4.258460e-003
3.740000e-002	1.070917e+000	6.097620e-003
5.010000e-002	1.414330e+000	8.123310e-003
6.100000e-002	1.710240e+000	1.013991e-002
7.050000e-002	1.972940e+000	1.144671e-002
8.080000e-002	2.242360e+000	1.311511e-002
9.170000e-002	2.497910e+000	1.485311e-002
9.980000e-002	2.738800e+000	1.620361e-002
1.100000e-001	3.002260e+000	1.783801e-002
1.199000e-001	3.228870e+000	1.922601e-002
1.299000e-001	3.467380e+000	2.082181e-002
1.390000e-001	3.709080e+000	2.212501e-002
1.477000e-001	3.938850e+000	2.358871e-002
1.582000e-001	4.178170e+000	2.475801e-002
1.672000e-001	4.414380e+000	2.639981e-002
1.830000e-001	4.780110e+000	2.857621e-002
2.003000e-001	5.167990e+000	3.136191e-002
2.127000e-001	5.469410e+000	3.299281e-002
2.186000e-001	5.605790e+000	3.371461e-002
2.252000e-001	5.717690e+000	3.427421e-002
2.326000e-001	5.866970e+000	3.529701e-002
2.398000e-001	6.021500e+000	3.650881e-002
2.472000e-001	6.191340e+000	3.731541e-002
2.584000e-001	6.438880e+000	3.878401e-002
2.705000e-001	6.692350e+000	4.043241e-002
2.839000e-001	6.944210e+000	4.185371e-002
2.949000e-001	7.184950e+000	4.366681e-002
3.056000e-001	7.392700e+000	4.487071e-002
3.168000e-001	7.595330e+000	4.620901e-002
3.280000e-001	7.791220e+000	4.751101e-002
3.378000e-001	7.973700e+000	4.876091e-002
3.465000e-001	8.135650e+000	4.943011e-002
3.546000e-001	8.300010e+000	5.039721e-002
3.661000e-001	8.443590e+000	5.158301e-002
3.744000e-001	8.583840e+000	5.272751e-002
3.852000e-001	8.711250e+000	5.372491e-002
3.953000e-001	8.820620e+000	5.523891e-002
4.044000e-001	8.910300e+000	5.679521e-002
4.143000e-001	8.992430e+000	5.821771e-002
4.246000e-001	9.046940e+000	6.048991e-002
4.357000e-001	9.101360e+000	6.246651e-002
4.463000e-001	9.153250e+000	6.526311e-002
4.549000e-001	9.187730e+000	6.743651e-002
4.665000e-001	9.220660e+000	6.952461e-002
4.755000e-001	9.242500e+000	7.197111e-002
4.872000e-001	9.253620e+000	7.461751e-002
4.956000e-001	9.289470e+000	7.700171e-002
5.075000e-001	9.311680e+000	7.959181e-002
5.186000e-001	9.315460e+000	8.245801e-002
5.277000e-001	9.333430e+000	8.460841e-002
5.399000e-001	9.354920e+000	8.816381e-002
5.509000e-001	9.355630e+000	9.088411e-002
5.641000e-001	9.378670e+000	9.409491e-002
5.743000e-001	9.397120e+000	9.707321e-002
5.852000e-001	9.396910e+000	9.997201e-002
5.968000e-001	9.410800e+000	1.030130e-001
6.076000e-001	9.430740e+000	1.057570e-001
6.181000e-001	9.419020e+000	1.085010e-001
6.278000e-001	9.435740e+000	1.112990e-001
6.386000e-001	9.430740e+000	1.140200e-001
6.484000e-001	9.438480e+000	1.167590e-001
6.584000e-001	9.448950e+000	1.195240e-001
6.694000e-001	9.468820e+000	1.223490e-001
6.804000e-001	9.465100e+000	1.251240e-001
6.897000e-001	9.467540e+000	1.279110e-001
6.999000e-001	9.478630e+000	1.304290e-001
7.093000e-001	9.478240e+000	1.329320e-001
7.193000e-001	9.482230e+000	1.356240e-001
7.268000e-001	9.505570e+000	1.381800e-001
7.370000e-001	9.503600e+000	1.409250e-001
7.476000e-001	9.516980e+000	1.431340e-001
7.572000e-001	9.511650e+000	1.458140e-001
7.665000e-001	9.513620e+000	1.486280e-001
7.762000e-001	9.527590e+000	1.509520e-001
7.866000e-001	9.528790e+000	1.536840e-001
7.955000e-001	9.524170e+000	1.563560e-001
8.064000e-001	9.533460e+000	1.590530e-001
8.158000e-001	9.537760e+000	1.618680e-001
8.247000e-001	9.531590e+000	1.644830e-001
8.354000e-001	9.543600e+000	1.669720e-001
8.468000e-001	9.542550e+000	1.701470e-001
8.565000e-001	9.541510e+000	1.727050e-001
8.675000e-001	9.551550e+000	1.756370e-001
